sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-5.2239;3.3362;6.7322;7.7;-4.71;101.57;42518;2021-12-04 13:08:13:261
-0.2238;6.883;6.8531;13.06;-28.22;78.06;43018;2021-12-04 13:08:13:761
8.7037;3.7468;4.7786;55.97;-36.45;122.27;43518;2021-12-04 13:08:14:261
13.6907;3.3841;0.1089;-61.76;-271.56;-25.15;44018;2021-12-04 13:08:14:761
-6.3372;0.8631;7.4875;5.59;2.63;98.96;44517;2021-12-04 13:08:15:260
-0.2622;5.8344;5.8691;19.12;-31.4;130.31;45018;2021-12-04 13:08:15:761
13.3256;0.164;1.1384;53.65;-103.5;130.17;45518;2021-12-04 13:08:16:261
5.3891;-10.0049;10.8082;-143.93;-502.17;-23.04;46018;2021-12-04 13:08:16:761
-6.6915;2.3785;5.4621;19.0;-31.52;116.38;46518;2021-12-04 13:08:17:261
2.4252;5.3987;6.5838;32.37;-107.91;109.74;47018;2021-12-04 13:08:17:761
11.992;1.8973;-0.8738;42.67;-14.64;28.94;47518;2021-12-04 13:08:18:261
-15.2229;-1.8327;7.454;-91.65;117.71;22.04;48018;2021-12-04 13:08:18:761
-7.5893;1.8758;8.1447;20.79;122.53;117.31;48518;2021-12-04 13:08:19:261
1.8542;6.1696;4.2112;19.92;-121.55;89.55;49018;2021-12-04 13:08:19:761
21.6295;-0.8846;2.594;25.43;-1.78;52.21;49518;2021-12-04 13:08:20:261
-4.4566;-1.9225;16.068;-35.71;74.42;118.72;50018;2021-12-04 13:08:20:761
-3.1614;5.7003;7.9484;15.16;-21.51;74.91;50517;2021-12-04 13:08:21:260
6.6496;5.0611;3.5086;71.04;-32.53;53.15;51018;2021-12-04 13:08:21:761
9.349;-10.3425;1.9404;94.53;90.94;-158.72;51518;2021-12-04 13:08:22:261
